題目,A,B,C,D,複選,答案,詳解
"學生侵入學校的伺服器，偷偷竄改自己的期末考成績，破壞資訊哪一項特性？","保密性（Confidentiality）","完整性（Integrity）","可用性（Availability）","責任性（Accountability）",0,"B",""
"組織對外服務的官方網站遭 DDoS 攻擊，請問此為下列哪項遭破壞？","機密性","完整性","可用性","可讀性",0,"C",""
"下列何項關於「可用性」的敘述？","使用者以專用帳號及密碼登入 ERP","電信商機房故障，暫時無法使用網路","親自遞送機密文件給總經理核閱","出勤系統異常，導致薪資計算錯誤",0,"B",""
"下列敘述何者正確？","衝擊是威脅利用弱點對資產造成風險的可能性","衝擊是資產利用弱點對威脅造成風險的可能性","風險是威脅利用弱點對資產造成衝擊的可能性","風險是資產利用弱點對威脅造成衝擊的可能性",0,"C",""
"下列何項非成功建立 ISMS 的必要項目？","導入 ISO 國際標準","最高管理階層的參與及支持","組織提供所需之資源","確立資安政策及目標",0,"A",""
"在 ISMS 中進行資安內部查核，下列敘述何者不正確？","在查核前擬定稽核計畫","召開行前會議說明稽核計畫","稽核人員可稽核所屬單位，無需具備獨立性","建立稽核程序書或文件",0,"C",""
"下列何種作為展現最高管理階層對 ISMS 之領導和承諾？","確保資訊安全需求至少維持三年不變","確保資訊安全要求已整合至組織作業流程","確保未來一年內降低組織營運成本","確保組織年度營運計畫",0,"B",""
"ISMS 導入 PDCA 過程中，不包含下列何者？","最高管理階層審查會議","業務部門績效審核","內部稽核計畫執行","災害復原計畫演練",0,"B",""
"關於資訊資產之擁有、使用、保管，下列敘述何者正確？","保管者負責獲得授權以檢視或異動資訊資產","擁有者對資訊資產負管理權責，通常由使用者或指派擔任","使用者負責資產處理與保管","由各部門權責主管指定適當之擁有者、保管者及使用者",0,"D",""
"下列何者不是資訊資產？","員工人事資料","電腦","辦公桌","套裝軟體",0,"C",""
"關於資訊資產分級目的，下列敘述何者正確？","確保員工承包商安全責任","限制對資訊處理設施存取","確保資產依其重要性受到適切保護","確保運作中系統完整性",0,"C",""
"在進行資產管理時，哪一項應優先建立？","稽核計畫","溝通管理","風險登記表","資產清冊",0,"D",""
"關於資產分級盤點施作方式，下列敘述何者不正確？","保管人離職轉移須進行資產歸戶變更","異地備援端系統需另標示位置資訊","電腦規格依製造商項列於資訊紀錄中","資訊設備送修無法列入盤點可不處置追蹤",0,"D",""
"下列何者非資產擁有者之工作？","確保資產已盤點並造冊","確保資產已分級並適當保護","確保資產以最低成本採購","確保資產銷毀採取適當程序",0,"C",""
"建立 ISMS 活動中，哪一項工作最先進行？","識別弱點","識別現有及規劃的控制措施","識別資訊資產","識別威脅",0,"C",""
"當攻擊者獲益小於成本或損失可容忍，此時可採哪種風險處置策略？","風險接受","風險降低","風險移轉","風險避免",0,"A",""
"以下何者非風險評鑑後，對超出風險事項首要處理方式？","風險規避","風險轉嫁","風險控制","風險再評鑑",0,"D",""
"關於風險分析，下列敘述何者不正確？","在現有控制方法下判斷事件機率和影響","區分可接受風險與主要風險並提供風險評量資料","風險分析步驟之一為畫出風險圖像，橫軸機率、縱軸時間","蒐集資訊包含紀錄經驗、國外應用、文獻調查等",0,"C",""
"關於 ISMS 風險處理，下列敘述何者不正確？","依照風險等級實施控制措施以降低風險","可選擇風險轉嫁；如購買地震或防火保險","所有風險都可直接接受","移除風險來源",0,"C",""
"下列何者不是定量風險分析的計算因子？","ARO（年度發生率）","資產價值（Assets Value）","EF（暴露因子）","MA（Moving Average）",0,"D",""
"關於存取控制，下列敘述何者不正確？","應建立帳號管理含申請、開通、停用、刪除程序","組織應符合資訊存取限制條件下，讓授權者指派分享權限","允許遠端存取種類需先授權並建立限制/組態/連線需求","資訊系統無需對行動裝置連線要求授權",0,"D",""
"以下哪種行為屬實體存取控制？","讀取公司郵件","列印生產報表","進入機房巡檢","上網瀏覽新聞",0,"C",""
"新進員工操作公司系統，發現許多功能無法使用，其主管使用卻無此問題。最可能原因？","系統缺陷","最小權限原則","硬碟壞軌","系統中病毒",0,"B",""
"哪種權限管理行為較不適當？","公司負責人擁有 ERP 所有系統唯讀權，另有最高管理權","採購主管擁有除單據刪除外所有權限並可查物料庫存","資訊人員擁有系統設定權，同時擁有採購單據新增/編/刪","會計主管擁有每月結轉權限",0,"C",""
"關於身分認證（Authentication），下列敘述何者正確？","擁有帳密即可登入系統","確認使用電子身分為本人程序","給予使用者聽說讀寫等權限","留下使用軌跡自動稽核",0,"B",""
"Faker 為公司資訊人員，避免非法存取事件發生，下列哪項不是其應有作為？","多台電腦共用同一組密碼","記錄所有登入事件","離開電腦時需上鎖","切勿將帳戶提供他人使用",0,"A",""
"下列何者不屬於實體控制層面？","門禁系統","安全政策","纜線保護","大樓保全或警衛",0,"B",""
"關於 OTP（One-Time Password）特性，下列何者不正確？","不可預測","使用一次","不可重複","能防止釣魚網站",0,"D",""
"身份認證三要素，不包含下列何者？","Something you know","Something you have","Something you are","Something you need",0,"D",""
"使用通關密碼或 PIN 碼登入資訊系統，屬何種身份認證方式？","所知之事","所持之物","靜態特徵","動態特徵",0,"A",""
"下列何者不是 Biometric Systems 識別驗證技術？","Fingerprint","Retina","Iris","OTP",0,"D",""
"哪個工具無法進行身分認證？","記名悠遊卡","信用卡","超商集點卡","健保卡",0,"C",""
"某國防工業公司員工須用智慧卡和 PIN 登入系統，此為哪種驗證方法？","TOTP（時間基礎一次密碼）","多因子認證（Multifactor）","相互認證（Mutual）","聯邦認證（Federal）",0,"B",""
"使用帳號及密碼進行身分認證，下列何者非破解密碼的攻擊？","窮舉攻擊（Brute-Force）","字典攻擊（Dictionary）","跨網站指令碼（XSS）","網釣網站（Phishing）",0,"C",""
"關於資安事件發生前的預先準備計畫，下列何者不正確？","訂定災害預防計畫","規劃建置整體防護環境","利用防火牆隔離受害主機","定期實施安全稽核",0,"C",""
"下列名詞解釋何者不正確？","ALE：一年內預期資產因風險造成金錢損失","間接價值：資訊資產損失因置換或回復之價值","社會價值：公眾對資安事件對錯判別","機會價值：特定資安活動取得之已知正價值",0,"D",""
"依據行政院國家資通安全會報通報作業流程，機關判定 1 級或 2 級事件時，應於幾小時內完成復原/管制？","24 小時","48 小時","72 小時","96 小時",0,"C",""
"發生資安事故的第一步驟為何？","蒐集證據","記錄","將系統回復","檢討原因",0,"B",""
"組織遇到資安事件時，必須採取正確處理程序。第一步驟是？","問題隔離","問題分析","問題分類","問題調查",0,"C",""
"分析異地備援模式並以最低成本考量，應選下列何者？","冷備援站（Cold Site）","暖備援站（Warm Site）","熱備援站（Hot Site）","冗餘備援站（Redundancy）",0,"A",""
"下列何者與營運持續管理之規劃關聯度較低？","風險評鑑結果","可接受 RTO/RPO 標準","營運衝擊分析結果","資訊資產盤點結果",0,"D",""
"同樣系統資料，採用三種備份方式，要將資料還原時，下列何者所需還原時間最長？","完整備份（Full）","增量備份（Incremental）","差異備份（Differential）","三者相同",0,"A",""
"哪一個是營運持續管理的國際標準？","ISO 9000","ISO 14000","ISO 20000","ISO 22301",0,"D",""
"訂定企業營運持續計畫時，哪一件事須先進行？","訂定災難復原計畫（DRP）","執行營運衝擊分析（BIA）","獲得高階管理階層支持","鑑別關鍵性業務",0,"C",""
"下列何者不算個人隱私？","醫療健康狀況","性生活","財務社會活動","證件上照片",0,"D",""
"何者不是智慧財產法令規範？","專利法","著作權法","商標法","公司法",0,"D",""
"下列何者不是個人資料當事人可行使的權利？","查詢當事人個人資料","查詢親友個人資料","請求製給複製本","請求補充或更正",0,"B",""
"下列敘述何者不屬於稽核員的主要工作？","依稽核規劃與時程執行稽核活動","稽核過程中紀錄發現與待確認事項","規劃並執行前次稽核活動中的矯正預防作為","稽核結束會議前與受稽者釐清並確認稽核發現事項",0,"C",""
"組織內部人員擔任稽核員進行內部稽核，又稱為？","第一方稽核","第二方稽核","第三方稽核","驗證稽核",0,"A",""
"何者不可作為稽核證據？","受稽人員口述","檢視紙本紀錄結果","稽核工作檢測結果","稽核人員主觀判斷",0,"D",""
