題目,A,B,C,D,複選,答案,詳解
"下列哪一項不是阻斷式服務攻擊（Denial-of-Service Attack）？","利用程式漏洞消耗 100%的 CPU 運算能力","向系统持續發送惡意封包，導致主機當機","寄送釣魚郵件給公司所有人員","向某電子郵件地址發送大量信件",0,"C",""
"下列何種安全機制最弱？","WEP","WPA","WPA2-Personal","WPA2-Enterprise",0,"A",""
"下列敘述何者正確？","巨集病毒只會感染 Excel 檔，不會感染 Word 檔","開機型病毒藏匿於硬碟非主要開機磁區","非常駐型病毒將自己寄生在 .COM、.EXE、*.SYS 檔案中","檔案型病毒只會感染 .COM 檔",0,"C",""
"請問防火牆的功能為？","檢核原始碼安全","保護網路安全","保護實體安全","保護人員安全",0,"B",""
"下列何者是管理員採用動態路由協定（Dynamic Routing Protocol）以取代靜態路由的主要理由？","動態路由的路由器負載較輕","動態路由能夠延展到較大的網絡","動態路由較安全","動態路由有較快的網路傳輸能力",0,"B",""
"下列何種網路攻擊「不會」造成伺服器主機處理效率下降或錯誤？","死亡偵測攻擊（Ping-of-Death）","分割重組攻擊（Teardrop）","分散式攻擊（Distributed）","中間人攻擊（Man-In-The-Middle）",0,"D",""
"有一種防火牆功能為：「檢查來源端及目的端的 IP、Port，若符合管理員設定之規則就准許通過，否則拒絕」。此為何種防火牆？","應用代理閘道（Application-Proxy）防火牆","狀態檢查（Stateful inspection）防火牆","封包過濾（Packet Filter）防火牆","個人（Personal）防火牆",0,"C",""
"在電子商務交易過程中，可以運用「電子簽章技術」來確保資訊的哪一種特性？","可測試性","可維護性","不可否認性","易使用性",0,"C",""
"「虛擬私有網路（VPN）」主要是透過什麼技術來建立網路上的安全通訊連線？","通道（Tunnel）技術","資料壓縮技術","調變與解調變技術","無線通訊技術",0,"A",""
"TCP/IP 通訊協定中，負責提供定址與路由工作的是哪一層？","應用層","表達層","傳輸層","網路層",0,"D",""
"常見的 DNS 資源記錄類型 CNAME 代表？","IPv4 主機位址","文字字串","郵件交換（MX）","別名（Alias）",0,"D",""
"公司管理人員設定交換器，需要確保只有授權裝置才可存取公司網路。下列何者為最安全做法？","設定 MAC 篩選基礎的連接埠安全性（Port Security）","使用 802.1x","創造每個裝置的 VLAN","啟用 BPDU Guard 功能",0,"B",""
"系統管理者對伺服器（包含應用程式、平台、資料庫等）應進行安全性設定，下列何者正確？","系統上線後仍保留預設帳戶","使用系統預設開啟的連接埠","錯誤訊息應開放詳細資訊以便除錯","過期的 OS、DBMS 等應評估並進行更新",0,"D",""
"作業系統安裝好後，為避免駭客入侵，應採取哪項措施較佳？","更新病毒碼","更新修補程式（Patch）","更新防火牆設定","更新入侵偵測系統",0,"B",""
"下列何者並非攻擊者入侵主機後，常見使用來下載外部後門的指令？","PING","WGET","CURL","FTP",0,"A",""
"公司某部門有台 Windows 10 電腦允許所有部門員工登入，但欲禁止一般員工使用 USB，管理員應利用何者？","本機群組原則（Local Group Policy）","磁碟重組工具","行動裝置管理員","具有進階安全性的 Windows 防火牆",0,"A",""
"下列何者不是微軟 Windows 系統中具特權權限之帳號？","Administrator","root","在 Administrators 群組的使用者帳號","Local System",0,"B",""
"有種資安風險描述為：「開發者暴露了內部檔案、檔案夾、金鑰、或資料庫紀錄作為 URL/Form 的參數，攻擊者可操作參數擅自存取其他物件」。此為？","跨站腳本攻擊（XSS）","API 未受防護（Underprotected APIs）","注入攻擊（Injection）","無效的存取控制（Broken Access Control）",0,"D",""
"下列何者不是 Blind SQL Injection 的特性？","SQL 錯誤資訊會顯示在頁面中","SQL 錯誤資訊不會顯示在頁面中","常利用 wait for delay 語法來測試","常與 Time base SQL injection 一起發生",0,"A",""
"下列何者不是網頁攻擊手法？","Cross-Site Scripting","SQL Injection","Parameterized Query","Cross-Site Request Forgery",0,"C",""
"針對作業系統訂定的資訊安全策略中，下列何種安全模式由管理者統一進行檔案存取授權後，使用者才能存取檔案？","自由存取控制（DAC）","強制存取控制（MAC）","角色存取控制（RBAC）","屬性存取控制（ABAC）",0,"B",""
"攻擊者利用網站應用程式漏洞，將 HTML 或 Script 指令插入網頁，導致使用者瀏覽時執行攻擊者惡意程式。此為？","SQL injection","CSRF（跨站請求偽造）","XSS（跨網站腳本攻擊）","搜尋引擎攻擊（Google Hacking）",0,"C",""
"關於跨站請求偽造（CSRF），下列何者是最佳解決辦法？","加入 HttpOnly","過濾不必要特殊字元","加入圖形驗證碼","使用 HTTPS",0,"C",""
