題目,A,B,C,D,複選,答案,詳解
"下列何者是「機密性」的正確意涵？","確保被使用的為正確資料，未遭人竄改","確保網路通訊中的參與者，不會拒絕承認行為","確保資訊服務隨時可被取用","防止未經授權的人或系統存取資料或訊息",0,"D",""
"請問「確保已授權之使用者可適時、可靠的存取資料與資源」代表哪一種意義？","機密性（Confidentiality）","完整性（Integrity）","可用性（Availability）","可讀性（Readability）",0,"C",""
"組織資料庫遭駭客惡意程式入侵，竊走大量個資，此為何種特性遭破壞？","可用性（Availability）","機密性（Confidentiality）","完整性（Integrity）","可讀性（Readability）",0,"B",""
"關於「識別風險並以定性或定量之方式計算風險值」，是下列何者之敘述？","風險分析（Risk Analysis）","風險處理（Risk Treatment）","風險轉嫁（Risk Transfer）","風險降低（Risk Reduction）",0,"A",""
"管理階層的審查作業，是戴明循環（PDCA）哪個步驟？","計畫（Plan）","執行（Do）","檢查（Check）","行動（Act）",0,"C",""
"在資訊安全管理中，關於資訊資產的使用，下列敘述何者正確？","汰換設備只交給回收廠商即可","資訊資產攜出，需經適當授權與核可","機敏性資料文件集中到大樓回收箱即可","資訊資產放 USB 交換最直接",0,"B",""
"下列何者不是導入 ISMS 的主要目的？","保護組織資訊資產安全","確保資訊系統能穩定運作","降低企業營運和人員成本","避免資料外洩事故發生",0,"C",""
"關於 PDCA 四個程序，下列說明何者不正確？","Plan：依組織政策建立資安目標","Do：實施此計畫","Check：監督及量測過程並報告","Act：單位執行內部稽核",0,"D",""
"關於資訊資產控管原則，下列敘述何者正確？","關鍵系統設備不需備援","網路設備不用建立備用系統","個人套裝軟體的存取權限應符合使用者角色與職責","公開資料未經主管授權禁止複製",0,"C",""
"資訊資產分類有硬體、軟體、資料、文件、人員、服務，下列何者可歸類為服務資產？","網路設備","電力","請假單","資訊部門主管",0,"B",""
"關於資訊資產分類，下列敘述何者不正確？","使資訊資產易於管理","依資產屬性進行分類","各組織定義可不同","資產分類定義固定只能四類（資料、軟體、硬體、人員）",0,"D",""
"下列何者負責進行資訊分類判斷？","擁有者（Owner）","保管員（Custodian）","資訊安全經理（Information Security Manager）","資訊風險經理（Information Risk Manager）",0,"A",""
"關於資產盤點與汰除事項，下列敘述何者不正確？","薪資硬碟故障，除汰除外應消磁銷毀","舊事務機報廢，需儲存媒體清除","待汰除設備過多，需考量聚合效應","電腦報廢因中古回收價高，故硬碟無須另外處理",0,"D",""
"下列何者最適合被指派為資產擁有者？","資產採購者","資產盤點者","管理資產使用責任者","外包廠商人員",0,"C",""
"關於組織的資訊資產，下列敘述何者不正確？","資訊資產包含組織內與資訊活動相關之人事物","資訊資產擁有者對資產具實質財產權","資安管理目的在保護資產的 CIA","資訊資產管理在識別資訊活動資產並妥善保護",0,"B",""
"若高等級衝擊嚴重違背組織使命或造成人員傷亡，應優先考量何種風險處置？","風險接受（Accept）","風險降低（Reduce）","風險移轉（Transfer）","風險避免（Avoid）",0,"D",""
"下列敘述何者符合風險移轉？","投保機房火險","建立備援網路系統","停止網路平台交易業務","增加系統權限簽核流程",0,"A",""
"關於「木桶理論」，由長短不一木板組成木桶之「容水量大小」取決於？","最長木板","全部木板長度平均值","最短木板","以上皆非",0,"C",""
"為降低風險，下列何者非實施風險控制措施考量因素？","法規要求與限制","組織目標與規範","實施可能成本","資訊資產類別",0,"D",""
"關於風險管理，下列敘述何者不正確？","管理組織風險，避免風險擴大","協助組織隱藏風險，避免驗證失效","協調實作控制降低風險","尋求備案以避免意外",0,"B",""
"關於存取控制措施，下列敘述何者正確？","建立無線存取系統時，無需取得授權","採用最小權限原則，只允許依業務需求授權","系統及系統間資料交換無需強制審查","作業系統無需考慮強制存取控制（MAC）",0,"B",""
"何者不是特權使用者？","資料庫管理員","帳號管理員","文書處理員","網路管理員",0,"C",""
"「業務承辦人員，不能身兼業務稽核人員」為何種說明？","職務區隔（Segregation of Duties）","最小權限原則（Principle of Least Privilege）","必要知道原則（Need-to-know）","RBAC（Role-based Access Control）",0,"A",""
"關於權限管理，下列做法何者較不適當？","新到任資訊人員在賦予系統權限前應先考核","因已核准故不需定期審查系統權限","採購助理申請查詢庫存數量權限，會簽倉儲主管","業務助理離職後系統僅停用該帳號而非刪除",0,"B",""
"何者不是資料存取控制的方法？","強制存取控制（MAC）","存取控制目錄（ACL）","規則基準存取控制（Rule-based）","身分識別（Identification）",0,"D",""
"設定密碼識別時，下列何者可使密碼較不易被破解？","純數字","英文名字加生日","身分證字號","參雜大小寫數字，越雜亂越好",0,"D",""
"何種生物辨識方式之 CER（交叉錯誤率）最低？","語音辨識","掌形辨識","手寫辨識","虹膜辨識",0,"D",""
"關於身分認證機制，下列何者不正確？","兩階段認證可透過手機或安全金鑰裝置","兩階段認證目的在簡化認證程序","動態密碼符記（Token）為常見驗證工具","可透過 LDAP 整合使用者於各應用程式",0,"B",""
"何種攻擊手法無法竊取或偽冒 Windows 使用者身份？","PTT（Pass the Ticket）","PTH（Pass the Hash）","DDoS（Distributed Denial-of-Service）","密碼暴力破解（Brute-Force）",0,"C",""
"下列身份認證相關元素，何者遭公開或竊取時不會影響安全性？","憑證公鑰（Public Key）","密碼（Password）","通行碼（Pin Code）","憑證私鑰（Private Key）",0,"A",""
"關於 IAM（Identity and Access Management），下列敘述何者不正確？","IAM 重視驗證、授權、稽核","IAM 可透過你知、你有、你是","驗證安全應思考傳輸加密與驗證值加密","驗證後權限應符合最大權限原則",0,"D",""
"身分驗證中，生物特徵分「靜態、動態」比對，下列何者不是動態比對？","聲音辨識","臉部辨識","指紋辨識","電子筆簽字辨識",0,"C",""
"若員工重複使用先前密碼，應執行下列哪種政策防止此情況？","強制密碼歷程記錄與密碼最長使用期限","密碼最短使用期限與複雜度需求","強制密碼歷程記錄與密碼最短使用期限","密碼需符合複雜度需求並強制密碼歷程",0,"C",""
"使用者身分被認證後，授予其權限之程序稱為？","識別（Identification）","認證（Authentication）","授權（Authorization）","可歸責（Accountability）",0,"C",""
"下列何者不屬於資訊安全事件通報之情況？","破壞資訊 CIA","違反個資法","存取違例","廠商例行維護",0,"D",""
"下列何者不屬於資安事故應變處理程序循環？","發現與分析（Detection & Analysis）","控制移除與復原（Containment, Eradication & Recovery）","準備（Preparation）","清除 Log 檔（Reset Log File）",0,"D",""
"關於資訊安全事故，下列敘述何者不正確？","事件發生應填通報單判定是否資安事故","應將事件分級","每級都可視資安事故，有不同處理規範","天然災害為不可抗力，不用列入處理",0,"D",""
"關於資安事件（Security Event），下列敘述何者最正確？","一定需立即處理","需要留存紀錄","發生時必啟動緊急應變計畫","與資安事故無差別",0,"B",""
"若發現駭客試圖攻擊路由器或防火牆，尚未入侵網路系統，稱之為？","資訊安全事件（Security Event）","資訊安全事故（Security Incident）","資訊安全風險（Security Risk）","資訊安全分析（Security Analysis）",0,"A",""
"下列何種備份方式，還原至前一個備分時間點時，還原速度最快？","完整備份（Full）","差異備份（Differential）","增量備份（Incremental）","選擇式備份（Selective）",0,"A",""
"異地備援中心中，何者可在重大災難時於最短時間將服務回復最低水準？","冷備援（Cold Site）","暖備援（Warm Site）","鏡備援（Mirror Site）","熱備援（Hot Site）",0,"C",""
"關於最大可容忍中斷時間（MTPD），下列敘述何者正確？","實際電力中斷時間","實際停止上班時間","關鍵營運活動最多可允許中斷時間","關鍵資料可遺失時間",0,"C",""
"下列何者為主機備援最安全做法？","備用主機和備份資料存放於同地點","備用主機和備份資料存放於不同地點","備用主機與營運主機同地，備份資料異地","備份資料與營運主機同地，備用主機異地",0,"B",""
"訂定資料備份策略時，決定可接受之資料損失的項目？","RTO（Recovery Time Objective）","備份媒體選擇","備份時間與週期","RPO（Recovery Point Objective）",0,"D",""
"何者行為不違反智慧財產權？","複製有版權軟體給他人","使用或張貼網上文章與圖畫","推薦網上購物商品資訊與朋友","下載網上電影並分享他人",0,"C",""
"何者不是個資法中當事人對於個人資料的權利？","查詢或請求閱覽","請求補充或更正","請求刪除","請求永久保留",0,"D",""
"何者並非個資法第 6 條不可隨意蒐集、處理或利用之個資？","病歷","基因","犯罪前科","財務情況",0,"D",""
"下列何種行為將損及稽核人員之專業與職業道德？","稽核人員誠實嚴謹負責執行任務","不得使用資訊圖個人利益","為維持與受稽核對象關係，部分重大稽核發現可不揭露","謹慎使用與保護於執行任務過程所得資訊",0,"C",""
